Altium Designer Pick and Place Locations
E:\Documents\Projets\CAP1G\STM_Le Mans\Projets\MB1814B\BASE\MB1814B\02-Manufacturing\MB1814B_PCB\Assembly\MB1814B_PickandPlace.txt

========================================================================================================================
File Design Information:

Date:       23/03/22
Time:       12:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                        Layer       Footprint                                                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                  
MIRE41     Comment                        TopLayer    MIRE_PLACE_SMD_0P8MM                                      56.1000      5.6750       0        ""                                                                                                                           
MIRE40     Comment                        TopLayer    MIRE_PLACE_SMD_0P8MM                                      65.4000      72.1750      0        ""                                                                                                                           
MIRE39     Comment                        TopLayer    MIRE_PLACE_SMD_0P8MM                                      6.7000       77.0000      180      ""                                                                                                                           
MIRE38     Comment                        BottomLayer MIRE_PLACE_SMD_0P8MM                                      56.1000      5.8250       0        ""                                                                                                                           
MIRE37     Comment                        BottomLayer MIRE_PLACE_SMD_0P8MM                                      6.7000       77.0000      0        ""                                                                                                                           
MIRE36     Comment                        BottomLayer MIRE_PLACE_SMD_0P8MM                                      62.4500      76.8250      0        ""                                                                                                                           
MIRE35     Comment                        BottomLayer LOGO_ETIQUETTE                                            -865.8550    -823.8600    0        ""                                                                                                                           
MIRE34     Comment                        BottomLayer LOGO_ETIQUETTE                                            -865.8550    -823.8600    0        ""                                                                                                                           
CN1        USB_TYPE_C_Receptacle          TopLayer    CON_USB-TYPEC_WE_632723300011                             47.4000      75.4850      180      "USB_TypeC, 24pins, RA, TH, T=1.9mm (USB certified)"                                                                         
CN3        USB_TYPE_C_Receptacle          TopLayer    CON_USB-TYPEC_WE_632723300011                             22.5000      7.0150       360      "USB_TypeC, 24pins, RA, TH, T=1.9mm (USB certified)"                                                                         
U11        ""                             TopLayer    REG_SOT223-TAB                                            21.8496      43.6300      270      "IC REG LDO 5V 0.8A SOT223"                                                                                                  
R31        ""                             TopLayer    R0603                                                     44.1250      25.6500      180      Resistor,10K,0603,1%,1/10W                                                                                                   
SB44       ""                             BottomLayer SOLDER-BRIDGE_R0603-0R                                    36.5408      16.1003      270      "Solder Bridge ON"                                                                                                           
SB12       ""                             BottomLayer SOLDER-BRIDGE_R0603-0R                                    37.9672      16.0863      270      "Solder Bridge ON"                                                                                                           
SB41       ""                             BottomLayer SOLDER-BRIDGE_R0603-0R                                    44.2250      18.5500      180      "Solder Bridge ON"                                                                                                           
SB40       ""                             BottomLayer SOLDER-BRIDGE_R0603-0R                                    22.1000      19.8250      360      "Solder Bridge ON"                                                                                                           
U13        STM32H503RBH6                  TopLayer    ICC_LQFP64_10X10_P050_SOCKET_YAMAICHI_IC149-064-069-B5_NM 35.0000      24.1000      180      "MCU, Arm Cortex-M33, 250MHz, 32-bit MCU, 128kB flash, 32kB SRAM, LQFP64 package, 3D IC footprint with 2D socket footprint." 
U14        ESD-TRANSIL                    TopLayer    ESD_QFN2_1P6X1_P125                                       28.5500      8.2500       270      "High power transient voltage suppressor, 7V breakdown"                                                                      
C16        Capacitor                      TopLayer    C0402                                                     36.2250      69.2250      360      "Capacitor, MLCC, 100nF, 16V, X7R, 10%, 0402, T=0.5mm"                                                                       
C14        Capacitor                      TopLayer    C0402                                                     36.2250      70.5250      360      "Capacitor, MLCC, 100nF, 16V, X7R, 10%, 0402, T=0.5mm"                                                                       
C27        Capacitor                      TopLayer    C0402                                                     35.4250      61.8750      270      "Capacitor, MLCC, 100nF, 16V, X7R, 10%, 0402, T=0.5mm"                                                                       
C9         Capacitor                      TopLayer    C0402                                                     33.1000      74.1500      360      "Capacitor, MLCC, 100nF, 16V, X7R, 10%, 0402, T=0.5mm"                                                                       
C13        Capacitor                      TopLayer    C0402                                                     23.1750      69.9250      180      "Capacitor, MLCC, 100nF, 16V, X7R, 10%, 0402, T=0.5mm"                                                                       
C17        Capacitor                      TopLayer    C0402                                                     23.1750      67.2250      180      "Capacitor, MLCC, 100nF, 16V, X7R, 10%, 0402, T=0.5mm"                                                                       
C8         Capacitor                      TopLayer    C0402                                                     29.0250      74.9000      90       "Capacitor, MLCC, 100nF, 16V, X7R, 10%, 0402, T=0.5mm"                                                                       
C4         Capacitor                      TopLayer    C0402                                                     31.3250      74.9000      270      "Capacitor, MLCC, 2.2uF, 6.3V, X5R, +/-10%, 0402, T=0.5mm"                                                                   
C12        Capacitor                      TopLayer    C0402                                                     36.2250      71.4250      180      "Capacitor, MLCC, 2.2uF, 6.3V, X5R, +/-10%, 0402, T=0.5mm"                                                                   
C48        Capacitor                      TopLayer    C0603                                                     25.9100      21.3650      360      "Capacitor, MLCC, 2.2uF, 10V, X5R, +/- 10%, 0603, T=0,8mm"                                                                   
C49        Capacitor                      TopLayer    C0603                                                     30.0250      8.2250       90       "Capacitor, MLCC, 4.7uF, 16V, X5R, 10%, 0603, T=0.8mm"                                                                       
C52        ""                             TopLayer    C0402                                                     43.8000      28.2500      180      "Capacitor, MLCC, 100nF, 16V, X7R, 10%, 0402, T=0,5mm"                                                                       
C2         Capacitor                      TopLayer    C0402                                                     52.8250      71.6000      270      "Capacitor, MLCC, 100pF, 50V, NPO, +/-5%, 0402, T=0.5mm"                                                                     
C47        Capacitor                      TopLayer    C0603                                                     44.1250      27.1250      180      "Capacitor, MLCC, 2.2uF, 10V, X5R, +/- 10%, 0603, T=0,8mm"                                                                   
C22        Capacitor                      TopLayer    C0402                                                     25.8250      61.8750      270      "Capacitor, MLCC, 100nF, 16V, X7R, 10%, 0402, T=0.5mm"                                                                       
C26        Capacitor                      TopLayer    C0402                                                     34.1750      61.8750      270      "Capacitor, MLCC, 100nF, 16V, X7R, 10%, 0402, T=0.5mm"                                                                       
R20        Resistor                       TopLayer    R0402                                                     16.5000      72.7500      360      "Resistor, 1K8, 0402, +/-1%, 1/16W"                                                                                          
