OK
DC_TIMING,run_id=1,n=80,min_ms=6.351,max_ms=6.355,mean_ms=6.353,ina1_fail=0,ina2_fail=0,imu_fail=0
#config,Kp=70,Ki=0,Kd=110,Ko=50,ffScalePct=100,loopHz=20,Ldb_f=157,Lkv_f=178,Ldb_r=142,Lkv_r=190,Rdb_f=146,Rkv_f=155,Rdb_r=100,Rkv_r=201
#run_id,surface,pattern,t_ms,tgtL,tgtR,pwmL,pwmR,encL,encR,velL,velR,curL,curR,curRawL,curRawR,bus_mV,ax,ay,az,gx,gy,gz
1,0,1,0,30,30,252,234,0,0,0,0,512,441,5117,4412,12112,406,236,16856,-601,-41,110
1,0,1,50,30,30,279,268,4,2,4,2,548,629,5477,6290,11704,828,-1500,17346,-606,-13,-322
1,0,1,100,30,30,311,300,9,6,5,4,787,822,7872,8219,11564,2630,-188,16282,-758,128,66
1,0,1,150,30,30,331,322,18,14,9,8,921,983,9210,9830,11404,1704,-436,17720,-461,-53,-211
1,0,1,200,30,30,338,331,33,28,15,14,893,928,8926,9287,11312,3844,942,15506,-648,75,-138
1,0,1,250,30,30,344,339,52,46,19,18,916,961,9161,9609,11296,4036,-468,13594,-504,-163,-120
1,0,1,300,30,30,338,335,77,70,25,24,893,833,8924,8329,11268,3068,-576,14904,-556,47,-20
1,0,1,350,30,30,331,326,106,99,29,29,883,890,8829,8902,11300,3258,18,16782,-881,-20,61
1,0,1,400,30,30,322,313,138,132,32,33,769,733,7684,7335,11352,2028,962,17316,-529,62,217
1,0,1,450,30,30,305,298,174,168,36,36,671,664,6708,6640,11408,-470,-624,20956,-1118,486,252
1,0,1,500,30,30,290,276,212,208,38,40,559,647,5592,6473,11468,1548,1522,14482,443,-1042,353
1,0,1,550,30,30,268,255,253,250,41,42,601,529,6007,5292,11560,492,-890,16870,-950,217,370
1,0,1,600,30,30,249,235,295,293,42,43,420,482,4198,4818,11644,-366,-1174,19376,104,-174,388
1,0,1,650,30,30,225,214,339,337,44,44,334,423,3339,4236,11696,-758,376,24070,-347,189,325
1,0,1,700,30,30,206,195,383,381,44,44,297,367,2965,3672,11764,440,3138,19918,-1542,665,321
1,0,1,750,30,30,187,172,427,426,44,45,256,309,2556,3091,11816,1266,-1368,16606,-516,95,314
1,0,1,800,30,30,168,148,471,472,44,46,184,225,1834,2248,11868,7212,-1280,12248,-2933,680,335
1,0,1,850,30,30,156,133,513,516,42,44,153,197,1528,1969,11916,186,1060,13264,-477,441,699
1,0,1,900,30,30,140,117,555,559,42,43,139,173,1392,1737,11948,-1006,214,17958,-896,246,989
1,0,1,950,30,30,127,96,596,603,41,44,93,158,928,1583,11976,204,906,13586,-1368,-306,1172
1,0,1,1000,30,30,116,80,636,646,40,43,74,135,734,1355,11976,72,1172,17836,-722,57,1162
1,0,1,1050,30,30,110,66,674,688,38,42,53,114,531,1142,12012,-870,-568,16026,-215,-131,1374
1,0,1,1100,30,30,106,53,710,729,36,41,35,114,351,1141,12040,-926,1158,18626,-577,-85,1360
1,0,1,1150,30,30,102,42,745,769,35,40,25,107,250,1070,12056,-736,-1244,16642,-394,190,1556
1,0,1,1200,30,30,102,36,778,807,33,38,17,108,169,1083,12060,-664,496,16066,-341,76,1534
1,0,1,1250,30,30,102,29,810,844,32,37,11,108,110,1084,12064,-744,380,15326,-319,-112,1397
1,0,1,1300,30,30,106,27,840,879,30,35,12,116,120,1167,12068,-872,1490,17766,-1126,58,1399
1,0,1,1350,30,30,106,27,870,912,30,33,12,103,118,1033,12064,-1108,-540,19874,-690,-277,1260
1,0,1,1400,30,30,113,23,898,945,28,33,8,116,78,1163,12052,-238,434,15594,-742,-448,1235
1,0,1,1450,30,30,119,26,925,976,27,31,9,138,87,1386,12060,-158,894,14626,-718,-400,1080
1,0,1,1500,30,30,126,35,951,1004,26,28,18,142,174,1421,12056,-642,-1526,17572,-598,111,897
1,0,1,1550,30,30,135,37,976,1032,25,28,16,160,158,1603,12048,-286,1570,16090,-162,-26,751
1,0,1,1600,30,30,149,50,999,1057,23,25,31,215,308,2157,12044,-72,1728,14706,-844,-307,433
1,0,1,1650,30,30,151,57,1024,1082,25,25,36,212,359,2119,12024,74,952,15458,-501,-531,229
1,0,1,1700,30,30,161,71,1048,1105,24,23,59,227,587,2277,12016,68,1144,16746,-615,-230,14
1,0,1,1750,30,30,169,84,1072,1127,24,22,72,282,719,2824,12000,50,184,17130,-134,-455,-438
1,0,1,1800,30,30,181,98,1095,1148,23,21,104,310,1034,3105,11980,-178,120,16428,-746,24,-625
1,0,1,1850,30,30,190,114,1118,1168,23,20,116,287,1160,2875,11952,212,-1520,18686,-964,438,-800
1,0,1,1900,30,30,196,124,1142,1189,24,21,151,330,1504,3301,11932,736,358,14334,-1313,992,-1360
1,0,1,1950,30,30,200,136,1167,1210,25,21,182,339,1816,3397,11904,484,1154,15910,13,-280,-1497
