4 -5 0 0
OK
0 0 0 0
OK
DC_TIMING,run_id=1,n=80,min_ms=6.351,max_ms=6.355,mean_ms=6.353,ina1_fail=0,ina2_fail=0,imu_fail=0
#config,Kp=70,Ki=0,Kd=110,Ko=50,ffScalePct=100,loopHz=20,Ldb_f=157,Lkv_f=178,Ldb_r=142,Lkv_r=190,Rdb_f=146,Rkv_f=155,Rdb_r=100,Rkv_r=201
#run_id,surface,pattern,t_ms,tgtL,tgtR,pwmL,pwmR,encL,encR,velL,velR,curL,curR,curRawL,curRawR,bus_mV,ax,ay,az,gx,gy,gz
1,2,1,0,30,30,252,234,0,0,0,0,502,497,5014,4964,12008,220,138,16870,-597,-34,115
1,2,1,50,30,30,265,254,8,6,8,6,486,577,4853,5767,11640,1006,-234,17068,-267,-370,237
1,2,1,100,30,30,257,255,27,21,19,15,522,521,5213,5213,11592,2122,-174,17042,-613,133,197
1,2,1,150,30,30,268,268,47,38,20,17,631,586,6303,5861,11584,2098,-98,16806,-909,315,505
1,2,1,200,30,30,296,293,63,53,16,15,760,631,7593,6312,11536,1440,-682,17102,-508,561,344
1,2,1,250,30,30,326,314,76,68,13,15,671,887,6702,8869,11472,3130,2,16342,-97,-243,625
1,2,1,300,30,30,335,324,93,86,17,18,879,854,8790,8541,11360,2492,830,15758,-582,148,571
1,2,1,350,30,30,335,320,115,110,22,24,793,835,7923,8345,11328,1972,1152,17624,-220,-186,309
1,2,1,400,30,30,329,318,142,137,27,27,754,892,7538,8923,11340,3228,610,15242,-612,-271,174
1,2,1,450,30,30,319,308,173,168,31,31,826,729,8252,7285,11356,2122,-1272,15356,-1262,-119,21
1,2,1,500,30,30,304,293,208,203,35,35,678,766,6771,7655,11440,1976,-446,15950,-443,-98,21
1,2,1,550,30,30,290,279,245,240,37,37,685,650,6846,6498,11468,2026,1556,17742,-295,59,90
1,2,1,600,30,30,270,259,285,280,40,40,478,518,4780,5180,11520,1038,1380,17912,-794,-1352,146
1,2,1,650,30,30,249,238,327,322,42,42,456,440,4553,4396,11580,-914,-1006,16668,-846,180,83
1,2,1,700,30,30,229,214,370,366,43,44,463,440,4630,4398,11664,962,-3614,16146,-1250,243,285
1,2,1,750,30,30,211,195,413,410,43,44,297,364,2966,3634,11712,-98,300,18794,465,-570,419
1,2,1,800,30,30,190,176,457,454,44,44,234,314,2339,3142,11748,486,-1542,22180,-1317,427,345
1,2,1,850,30,30,174,153,500,499,43,45,193,240,1924,2394,11788,-1348,4232,18774,1174,-418,648
1,2,1,900,30,30,156,136,543,543,43,44,210,198,2091,1975,11828,200,-500,17644,-1208,-325,639
1,2,1,950,30,30,145,120,584,586,41,43,151,200,1501,1997,11864,924,2418,9050,-1466,4,846
1,2,1,1000,30,30,134,102,624,629,40,43,105,150,1042,1498,11872,-104,934,16236,-117,717,986
1,2,1,1050,30,30,124,88,663,671,39,42,88,132,873,1318,11904,-1050,-4216,17786,-823,657,1048
1,2,1,1100,30,30,115,72,701,713,38,42,84,133,834,1332,11924,-1140,-846,20162,680,-906,1109
1,2,1,1150,30,30,104,59,739,754,38,41,39,99,388,985,11940,-362,-1992,18214,-374,-607,1122
1,2,1,1200,30,30,104,51,774,793,35,39,32,110,319,1103,11960,214,1380,14746,-1295,39,1242
1,2,1,1250,30,30,101,42,808,831,34,38,25,105,244,1049,11960,-1084,-760,17106,-108,113,1224
1,2,1,1300,30,30,102,38,840,867,32,36,21,98,206,982,11964,-456,1468,17564,-944,110,1086
1,2,1,1350,30,30,102,34,871,902,31,35,16,95,155,945,11972,-1346,-714,16152,197,-38,1106
1,2,1,1400,30,30,107,34,900,935,29,33,17,115,168,1153,11968,-424,1564,15880,-110,-333,1136
1,2,1,1450,30,30,108,37,929,966,29,31,18,118,173,1178,11960,-1146,932,19162,-1173,-123,1023
1,2,1,1500,30,30,116,39,956,996,27,30,22,125,217,1249,11964,-404,2248,15716,-721,-340,835
1,2,1,1550,30,30,123,42,982,1025,26,29,22,157,218,1564,11952,64,892,17392,-1327,-236,700
1,2,1,1600,30,30,132,50,1007,1052,25,27,33,159,321,1587,11956,-224,478,15908,-624,-93,451
1,2,1,1650,30,30,139,61,1032,1077,25,25,47,173,463,1728,11940,-332,-170,18022,-374,-56,368
1,2,1,1700,30,30,149,71,1056,1101,24,24,52,202,517,2019,11928,12,330,16536,-484,-34,31
1,2,1,1750,30,30,161,86,1079,1123,23,22,71,213,704,2129,11920,-80,96,16974,-448,-74,-117
1,2,1,1800,30,30,167,97,1103,1145,24,22,90,259,900,2584,11904,-404,-918,18856,145,-266,14
1,2,1,1850,30,30,179,108,1126,1167,23,22,123,287,1230,2870,11888,190,-1584,19086,-847,-467,-640
1,2,1,1900,30,30,188,122,1149,1188,23,21,137,317,1363,3166,11868,28,-304,16198,-477,-42,-684
1,2,1,1950,30,30,194,134,1173,1209,24,21,145,348,1449,3479,11848,652,862,16058,-314,-285,-770
1,2,1,2000,0,0,-46,-91,1196,1231,23,22,91,22,902,215,11860,1434,-1118,15902,-587,-72,-811
1,2,1,2050,0,0,-67,-103,1216,1248,20,17,90,33,899,326,11960,-1082,-970,18216,-921,2465,-842
1,2,1,2100,0,0,-91,-119,1235,1263,19,15,106,68,1055,680,11948,-3386,370,17982,-880,-1164,-797
1,2,1,2150,0,0,-106,-136,1251,1277,16,14,145,97,1443,964,11940,-86,-302,16426,-742,188,-427
1,2,1,2200,0,0,-110,-141,1262,1287,11,10,196,93,1960,931,11900,-4286,214,19436,-560,624,-183
1,2,1,2250,0,0,-114,-144,1270,1294,8,7,179,123,1781,1225,11884,-1166,-284,16696,-572,163,175
1,2,1,2300,0,0,-104,-136,1272,1296,2,2,179,104,1785,1035,11880,-1984,-286,17414,-455,-752,-19
1,2,1,2350,0,0,-100,-128,1272,1295,0,-1,142,92,1419,919,11900,-546,92,16642,-498,-743,-385
1,2,1,2400,0,0,-100,-123,1272,1293,0,-2,129,88,1282,880,11916,22,560,17024,-572,-1143,-750
1,2,1,2450,0,0,-100,-123,1272,1292,0,-1,129,88,1289,875,11920,70,1572,17748,-1006,380,-297
1,2,1,2500,0,0,-100,-115,1272,1289,0,-3,133,90,1329,903,11908,-78,-192,16512,-1210,540,-198
1,2,1,2550,0,0,-100,-111,1272,1286,0,-3,109,72,1085,721,11920,-76,-890,17340,75,-387,-861
1,2,1,2600,0,0,-100,-111,1272,1284,0,-2,129,83,1286,833,11912,1034,974,16010,-681,-214,-446
1,2,1,2650,0,0,-100,-105,1272,1281,0,-3,98,85,977,844,11928,150,-486,17180,-689,147,-535
1,2,1,2700,0,0,-100,-105,1272,1279,0,-2,103,84,1027,836,11932,806,596,16256,-628,28,-385
1,2,1,2750,0,0,-100,-109,1272,1279,0,0,93,84,925,840,11932,572,276,16644,-524,-83,-189
1,2,1,2800,0,0,-100,-106,1272,1278,0,-1,101,84,1002,839,11932,542,242,16686,-575,-63,-20
1,2,1,2850,0,0,-100,-101,1272,1276,0,-2,109,84,1082,839,11932,-376,-948,17810,-582,176,-377
1,2,1,2900,0,0,-100,-105,1272,1276,0,0,112,84,1115,840,11932,1116,1002,15916,-510,-134,-64
1,2,1,2950,0,0,-100,-105,1272,1276,0,0,109,84,1083,841,11928,808,-8,16564,-673,-64,119
1,2,1,3000,0,0,-100,-105,1272,1276,0,0,112,84,1114,843,11932,410,162,16856,-592,-52,167
