38297 -3685 0 0
OK
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
OK
0 0 0 0
OK
DC_TIMING,run_id=1,n=80,min_ms=6.351,max_ms=6.355,mean_ms=6.353,ina1_fail=0,ina2_fail=0,imu_fail=0
#config,Kp=70,Ki=0,Kd=110,Ko=50,ffScalePct=100,loopHz=20,Ldb_f=157,Lkv_f=178,Ldb_r=142,Lkv_r=190,Rdb_f=146,Rkv_f=155,Rdb_r=100,Rkv_r=201
#run_id,surface,pattern,t_ms,tgtL,tgtR,pwmL,pwmR,encL,encR,velL,velR,curL,curR,curRawL,curRawR,bus_mV,ax,ay,az,gx,gy,gz
1,1,1,0,30,30,252,234,0,0,0,0,466,522,4660,5223,11844,434,282,16790,-602,-50,111
1,1,1,50,30,30,272,258,6,5,6,5,560,566,5591,5654,11468,1924,-588,17356,-403,-107,-47
1,1,1,100,30,30,291,289,16,11,10,6,669,713,6682,7132,11392,3084,532,16398,-452,96,-369
1,1,1,150,30,30,322,319,25,18,9,7,629,785,6287,7849,11332,1506,-792,17050,-788,584,-502
1,1,1,200,30,30,333,333,39,30,14,12,992,868,9919,8679,11192,2586,-210,16408,-618,268,-333
1,1,1,250,30,30,344,340,56,47,17,17,1009,1055,10082,10553,11120,3776,1834,16466,-1199,572,212
1,1,1,300,30,30,344,340,78,69,22,22,1006,997,10056,9967,11072,1450,-486,18964,-776,412,431
1,1,1,350,30,30,341,330,104,97,26,28,944,974,9437,9739,11112,2408,250,16930,-600,-269,594
1,1,1,400,30,30,333,319,134,129,30,32,773,792,7729,7916,11136,1924,162,16738,-537,-482,563
1,1,1,450,30,30,323,306,167,164,33,35,771,717,7701,7171,11220,3756,1434,16528,-856,441,507
1,1,1,500,30,30,305,289,204,202,37,38,671,728,6701,7278,11256,1960,874,16178,-1108,608,531
1,1,1,550,30,30,288,267,243,243,39,41,597,650,5966,6499,11328,1714,936,14622,53,-463,372
1,1,1,600,30,30,265,248,285,285,42,42,511,546,5104,5454,11400,2396,-2630,16444,-1521,887,176
1,1,1,650,30,30,245,228,328,328,43,43,388,502,3873,5017,11456,2122,-216,14290,-1180,374,188
1,1,1,700,30,30,227,207,371,372,43,44,415,438,4148,4374,11516,942,556,14982,-1122,268,253
1,1,1,750,30,30,206,188,415,416,44,44,307,335,3063,3349,11568,-606,-226,18898,-303,326,410
1,1,1,800,30,30,190,165,458,461,43,45,245,311,2444,3105,11612,24,3150,11852,-1023,-947,558
1,1,1,850,30,30,169,144,502,506,44,45,199,257,1981,2566,11648,-504,-1138,19824,-39,-79,673
1,1,1,900,30,30,161,131,543,549,41,43,154,226,1537,2259,11684,-226,-938,15446,-1073,-115,773
1,1,1,950,30,30,150,113,583,592,40,43,131,183,1306,1833,11704,-346,-1236,21254,355,158,1077
1,1,1,1000,30,30,136,95,623,635,40,43,94,179,934,1784,11728,-428,798,17144,-586,302,1036
1,1,1,1050,30,30,130,81,661,677,38,42,74,160,738,1598,11748,-650,-978,18020,-298,-128,1080
1,1,1,1100,30,30,123,72,698,717,37,40,58,143,573,1424,11760,-442,-38,15816,-1676,184,1027
1,1,1,1150,30,30,121,62,733,756,35,39,44,147,440,1465,11772,-716,1378,17770,-624,-199,1117
1,1,1,1200,30,30,121,57,766,793,33,37,38,146,378,1458,11784,-964,-86,18358,-1055,-26,1128
1,1,1,1250,30,30,117,51,799,829,33,36,30,132,297,1314,11784,-288,1988,16702,-937,51,1090
1,1,1,1300,30,30,123,47,829,864,30,35,26,139,255,1389,11792,-396,824,15598,-487,40,1181
1,1,1,1350,30,30,126,50,858,896,29,32,29,122,282,1220,11784,-360,994,14898,-549,-170,959
1,1,1,1400,30,30,127,50,887,927,29,31,28,125,280,1247,11784,-274,310,16506,-787,136,904
1,1,1,1450,30,30,135,55,914,956,27,29,37,168,370,1675,11784,-902,-1914,20430,-1171,137,722
1,1,1,1500,30,30,146,63,939,983,25,27,41,189,409,1886,11776,-812,-478,15588,-510,-156,598
1,1,1,1550,30,30,156,70,963,1009,24,26,50,206,500,2063,11768,-426,-224,16368,-493,-291,425
1,1,1,1600,30,30,160,79,988,1034,25,25,62,215,611,2150,11752,-244,820,14130,-409,-478,298
1,1,1,1650,30,30,170,93,1012,1057,24,23,93,238,922,2379,11744,-8,-1112,16866,-454,-105,-223
1,1,1,1700,30,30,178,106,1036,1079,24,22,116,270,1157,2702,11724,-34,198,16894,-388,104,-262
1,1,1,1750,30,30,190,117,1059,1101,23,22,123,305,1225,3048,11712,292,662,16694,-664,-130,-647
1,1,1,1800,30,30,192,131,1084,1122,25,21,176,309,1753,3093,11684,-38,-256,17530,-367,-275,-823
1,1,1,1850,30,30,202,140,1108,1144,24,22,149,297,1483,2966,11676,434,966,15960,-730,38,-882
1,1,1,1900,30,30,210,151,1132,1166,24,22,197,357,1967,3573,11656,44,272,17378,-903,-40,-1010
1,1,1,1950,30,30,214,165,1157,1187,25,21,244,377,2434,3773,11632,646,346,15700,-521,423,-1169
1,1,1,2000,0,0,-34,-56,1183,1208,26,21,44,22,435,216,11620,1750,900,15890,-522,-105,-1287
1,1,1,2050,0,0,-56,-74,1205,1226,22,18,52,27,514,265,11820,-896,-874,15176,-767,2152,-558
1,1,1,2100,0,0,-79,-99,1225,1244,20,18,74,53,739,528,11812,-1158,-1936,19078,-696,-1133,-408
1,1,1,2150,0,0,-96,-117,1242,1260,17,16,109,78,1088,780,11788,82,534,15778,-506,284,-12
1,1,1,2200,0,0,-105,-128,1255,1273,13,13,128,85,1279,848,11772,-2124,1004,16496,-896,-457,276
1,1,1,2250,0,0,-105,-131,1263,1282,8,9,158,103,1572,1027,11736,-2612,-328,18460,-787,412,647
1,1,1,2300,0,0,-102,-136,1267,1289,4,7,146,89,1457,884,11752,-1870,-300,15878,-693,-65,1316
1,1,1,2350,0,0,-94,-128,1267,1291,0,2,142,77,1419,765,11740,-1156,-646,16592,-695,-324,288
1,1,1,2400,0,0,-94,-124,1267,1291,0,0,160,76,1592,759,11740,-138,286,16788,-556,-445,-274
1,1,1,2450,0,0,-94,-121,1267,1290,0,-1,129,76,1290,758,11756,232,260,16384,-597,-44,-435
1,1,1,2500,0,0,-94,-113,1267,1287,0,-3,103,76,1030,762,11764,312,366,16968,-549,-63,-538
1,1,1,2550,0,0,-94,-119,1267,1287,0,0,142,76,1415,755,11760,548,344,16718,-581,-284,-216
1,1,1,2600,0,0,-94,-119,1267,1287,0,0,128,76,1275,760,11756,722,370,16666,-582,-134,164
1,1,1,2650,0,0,-94,-119,1267,1287,0,0,142,76,1417,754,11752,414,190,16756,-631,-4,265
1,1,1,2700,0,0,-94,-119,1267,1287,0,0,143,76,1425,755,11756,342,116,16742,-611,-32,203
1,1,1,2750,0,0,-94,-119,1267,1287,0,0,141,75,1405,753,11756,222,184,16772,-617,-10,173
1,1,1,2800,0,0,-94,-119,1267,1287,0,0,140,76,1391,755,11756,150,216,16666,-607,105,253
1,1,1,2850,0,0,-94,-119,1267,1287,0,0,137,75,1362,752,11760,168,158,16770,-595,117,175
1,1,1,2900,0,0,-94,-119,1267,1287,0,0,140,76,1392,758,11756,86,164,16834,-585,-62,109
1,1,1,2950,0,0,-94,-119,1267,1287,0,0,137,76,1368,757,11756,262,184,16626,-587,-56,124
1,1,1,3000,0,0,-94,-119,1267,1287,0,0,140,76,1397,760,11756,252,226,16780,-609,-18,100
1,1,1,3050,0,0,-94,-119,1267,1287,0,0,140,75,1392,753,11752,156,188,16794,-592,-22,103
1,1,1,3100,0,0,-94,-119,1267,1287,0,0,140,76,1393,754,11752,220,184,16784,-608,-18,97
1,1,1,3150,0,0,-94,-119,1267,1287,0,0,140,76,1391,755,11760,190,190,16786,-598,-30,98
1,1,1,3200,0,0,-94,-119,1267,1287,0,0,140,76,1400,755,11756,240,202,16768,-592,-33,111
1,1,1,3250,0,0,-94,-119,1267,1287,0,0,139,75,1389,751,11756,232,230,16756,-617,-29,107
1,1,1,3300,0,0,-94,-119,1267,1287,0,0,140,75,1391,750,11756,232,280,16736,-599,-35,108
1,1,1,3350,0,0,-94,-119,1267,1287,0,0,138,76,1371,756,11752,268,116,16758,-599,-54,112
1,1,1,3400,0,0,-94,-119,1267,1287,0,0,139,76,1388,755,11756,202,210,16762,-599,-26,103
1,1,1,3450,0,0,-94,-119,1267,1287,0,0,135,75,1344,752,11756,288,210,16818,-601,-30,119
1,1,1,3500,0,0,-94,-119,1267,1287,0,0,140,76,1391,755,11760,222,186,16742,-600,-28,113
1,1,1,3550,0,0,-94,-119,1267,1287,0,0,133,76,1322,754,11760,270,156,16704,-599,-46,106
1,1,1,3600,0,0,-94,-119,1267,1287,0,0,139,76,1387,755,11756,158,202,16718,-621,-32,95
1,1,1,3650,0,0,-94,-119,1267,1287,0,0,124,76,1231,756,11748,228,236,16720,-594,-31,100
1,1,1,3700,0,0,-94,-119,1267,1287,0,0,139,76,1388,756,11756,182,172,16842,-597,-42,99
1,1,1,3750,0,0,-94,-119,1267,1287,0,0,142,76,1415,755,11756,232,168,16798,-600,-23,116
1,1,1,3800,0,0,-94,-119,1267,1287,0,0,139,76,1389,759,11748,232,164,16722,-593,-43,129
1,1,1,3850,0,0,-94,-119,1267,1287,0,0,141,76,1407,755,11752,252,206,16768,-591,-40,112
1,1,1,3900,0,0,-94,-119,1267,1287,0,0,140,75,1393,752,11756,212,208,16744,-618,-26,114
1,1,1,3950,0,0,-94,-119,1267,1287,0,0,139,76,1390,758,11756,212,230,16658,-596,-28,109
1267 1288 0 0
OK
DC_TIMING,run_id=2,n=80,min_ms=6.351,max_ms=6.356,mean_ms=6.353,ina1_fail=0,ina2_fail=0,imu_fail=0
