39850 -2231 0 0
OK
0 0 0 0
OK
DC_TIMING,run_id=1,n=80,min_ms=6.351,max_ms=6.356,mean_ms=6.353,ina1_fail=0,ina2_fail=0,imu_fail=0
#config,Kp=70,Ki=0,Kd=110,Ko=50,ffScalePct=100,loopHz=20,Ldb_f=157,Lkv_f=178,Ldb_r=142,Lkv_r=190,Rdb_f=146,Rkv_f=155,Rdb_r=100,Rkv_r=201
#run_id,surface,pattern,t_ms,tgtL,tgtR,pwmL,pwmR,encL,encR,velL,velR,curL,curR,curRawL,curRawR,bus_mV,ax,ay,az,gx,gy,gz
1,3,1,0,30,30,252,234,0,0,0,0,434,518,4336,5180,11792,422,70,16690,-594,-42,108
1,3,1,50,30,30,286,268,2,2,2,2,649,713,6483,7133,11412,1740,-822,17638,-1056,586,278
1,3,1,100,30,30,321,300,5,6,3,4,675,1054,6745,10539,11324,1644,318,15574,-565,46,480
1,3,1,150,30,30,355,332,9,11,4,5,954,1596,9535,15955,11160,1948,1034,16746,-640,179,241
1,3,1,200,30,30,369,352,19,20,10,9,1025,1807,10245,18064,10784,2658,-970,16926,-813,320,-414
1,3,1,250,30,30,369,363,37,34,18,14,1320,1859,13192,18591,10616,2308,-528,18064,-618,378,-1030
1,3,1,300,30,30,368,363,60,54,23,20,1360,1529,13596,15290,10648,2514,-354,17920,-658,246,-504
1,3,1,350,30,30,364,356,87,80,27,26,1209,1421,12085,14206,10752,3066,-410,16442,-872,247,124
1,3,1,400,30,30,354,340,118,112,31,32,1047,1064,10466,10640,10924,110,-484,18566,-643,300,316
1,3,1,450,30,30,346,330,151,146,33,34,949,1007,9486,10070,11068,1760,-1858,16606,-1105,822,566
1,3,1,500,30,30,335,310,186,184,35,38,759,810,7584,8094,11108,972,2696,17698,-298,-111,1144
1,3,1,550,30,30,318,288,224,225,38,41,672,842,6713,8416,11192,1090,1238,19148,-1330,825,1084
1,3,1,600,30,30,304,269,263,267,39,42,619,672,6181,6721,11276,2682,1044,14574,-1393,176,965
1,3,1,650,30,30,285,245,304,311,41,44,427,663,4262,6625,11332,452,350,16366,-643,-326,943
1,3,1,700,30,30,266,222,346,356,42,45,361,579,3608,5791,11388,1434,-652,15038,-232,-232,774
1,3,1,750,30,30,250,201,388,401,42,45,344,523,3440,5225,11448,-118,64,19316,409,-680,1094
1,3,1,800,30,30,234,180,430,446,42,45,320,459,3197,4589,11496,3072,2438,12498,-525,-95,1186
1,3,1,850,30,30,214,152,473,493,43,47,190,392,1897,3917,11544,-1992,-174,17818,-978,134,1391
1,3,1,900,30,30,207,132,513,539,40,46,170,325,1696,3249,11588,516,1862,13694,-1634,406,1162
1,3,1,950,30,30,190,117,554,583,41,44,137,307,1370,3073,11616,1038,882,12676,-527,-670,1497
1,3,1,1000,30,30,179,101,594,626,40,43,91,251,904,2512,11636,470,776,16674,-835,-324,1353
1,3,1,1050,30,30,165,80,634,670,40,44,72,216,720,2160,11664,-986,4246,22070,-1958,629,1395
1,3,1,1100,30,30,162,64,671,713,37,43,48,241,479,2409,11688,856,-174,17016,-171,-31,1486
1,3,1,1150,30,30,153,50,708,755,37,42,29,216,283,2159,11704,-220,-1798,16898,-1314,487,1831
1,3,1,1200,30,30,151,37,743,796,35,41,19,187,189,1866,11712,-56,804,15654,-566,-142,1800
1,3,1,1250,30,30,148,26,777,836,34,40,13,178,128,1783,11716,-240,1420,16752,-1127,346,1767
1,3,1,1300,30,30,146,16,810,875,33,39,6,180,53,1801,11728,-1266,-780,17962,-1006,468,1627
1,3,1,1350,30,30,146,11,842,912,32,37,3,206,30,2063,11732,-626,876,18070,-867,-187,1652
1,3,1,1400,30,30,144,2,874,949,32,37,1,176,1,1758,11736,1214,-496,15470,-548,72,1552
1,3,1,1450,30,30,148,0,904,984,30,35,0,186,-4,1860,11732,-474,680,16922,-1006,85,1529
1,3,1,1500,30,30,155,-3,932,1018,28,34,1,206,1,2063,11732,248,1598,14584,-526,-90,1668
1,3,1,1550,30,30,157,-2,960,1050,28,32,1,214,6,2139,11728,108,-1484,16036,-1235,-587,1319
1,3,1,1600,30,30,163,-4,987,1082,27,32,0,208,-7,2083,11728,-172,236,16312,-464,-417,1379
1,3,1,1650,30,30,167,4,1014,1111,27,29,1,248,2,2483,11728,-112,-714,16842,-786,-41,1024
1,3,1,1700,30,30,178,5,1039,1140,25,29,-1,290,-12,2903,11720,-18,270,17044,-477,-289,1031
1,3,1,1750,30,30,181,13,1065,1167,26,27,3,303,22,3032,11708,212,-2168,16720,-690,-59,489
1,3,1,1800,30,30,193,20,1089,1193,24,26,7,337,61,3367,11704,-788,-1056,15468,-536,-82,168
1,3,1,1850,30,30,197,29,1114,1218,25,25,6,347,57,3469,11696,-852,-214,18664,-830,330,36
1,3,1,1900,30,30,204,43,1139,1241,25,23,20,328,197,3283,11684,12,-74,17030,-661,-63,-273
1,3,1,1950,30,30,211,52,1164,1264,25,23,28,355,278,3548,11672,788,-1390,16918,-127,-119,-784
1,3,1,2000,0,0,-34,-165,1189,1285,25,21,221,14,2204,139,11664,656,318,15856,-520,-21,-1389
1,3,1,2050,0,0,-58,-180,1211,1302,22,17,227,28,2270,283,11692,-1488,204,18216,-731,831,-1981
1,3,1,2100,0,0,-81,-193,1231,1316,20,14,216,47,2155,467,11676,-1370,-430,17224,-677,311,-1959
1,3,1,2150,0,0,-101,-198,1249,1326,18,10,345,86,3444,854,11632,-3010,-1064,16530,-366,274,-2357
1,3,1,2200,0,0,-111,-198,1263,1332,14,6,332,90,3313,898,11616,-1472,248,16230,-455,-170,-2439
1,3,1,2250,0,0,-116,-189,1273,1333,10,1,279,118,2788,1177,11624,-1408,-36,16808,-518,11,-2439
1,3,1,2300,0,0,-119,-187,1280,1333,7,0,310,113,3095,1130,11620,-710,672,16600,-463,-549,-1565
1,3,1,2350,0,0,-111,-184,1282,1332,2,-1,309,115,3090,1145,11612,-442,392,17070,-623,-333,-7
1,3,1,2400,0,0,-107,-183,1282,1331,0,-1,266,105,2652,1052,11632,-630,118,15224,-689,311,-145
1,3,1,2450,0,0,-107,-175,1282,1328,0,-3,247,107,2468,1070,11636,-114,710,15684,-628,-66,-590
1,3,1,2500,0,0,-107,-168,1282,1324,0,-4,270,111,2693,1104,11632,198,686,16426,-491,-103,-1361
1,3,1,2550,0,0,-107,-156,1282,1318,0,-6,218,86,2176,854,11640,-474,-76,16438,-461,-47,-1748
1,3,1,2600,0,0,-107,-152,1282,1313,0,-5,224,93,2233,933,11660,584,406,17240,-587,-11,-1902
1,3,1,2650,0,0,-107,-138,1282,1306,0,-7,146,101,1453,1011,11672,566,116,17144,-499,-109,-1956
1,3,1,2700,0,0,-107,-132,1282,1300,0,-6,148,105,1478,1047,11684,718,-110,16946,-519,-130,-1816
1,3,1,2750,0,0,-107,-120,1282,1293,0,-7,167,105,1669,1053,11688,522,516,16732,-530,-157,-1938
